layer,type,corrupted,restored,component,metric,value,config,lr,n_embd,n_layer
0,KEY,query_item_orig,query_item_orig,conv_input,kl_div,0.000628837278213723,ar_32_nope/mamba___128___1e-03,0.001,128,2
0,KEY,query_item_orig,query_item_orig,conv_input,restored_prob,0.5727892552968115,ar_32_nope/mamba___128___1e-03,0.001,128,2
corrupted,KEY,query_item_orig,query_item_orig,conv_input,restored_prob,0.0443983673204121,ar_32_nope/mamba___128___1e-03,0.001,128,2
original,KEY,query_item_orig,query_item_orig,conv_input,restored_prob,0.5722457233350724,ar_32_nope/mamba___128___1e-03,0.001,128,2
0,KEY,query_item_orig,query_item_orig,conv_input,prob_diff,0.5158952738708139,ar_32_nope/mamba___128___1e-03,0.001,128,2
0,KEY,query_item_orig,query_item_orig,conv_input,restored_logit,27.2021484375,ar_32_nope/mamba___128___1e-03,0.001,128,2
corrupted,KEY,query_item_orig,query_item_orig,conv_input,restored_logit,6.811756134033203,ar_32_nope/mamba___128___1e-03,0.001,128,2
original,KEY,query_item_orig,query_item_orig,conv_input,restored_logit,27.189453125,ar_32_nope/mamba___128___1e-03,0.001,128,2
0,KEY,query_item_orig,query_item_orig,conv_input,logit_diff,20.29993438720703,ar_32_nope/mamba___128___1e-03,0.001,128,2
0,KEY,query_item_orig,target_item_orig,conv_input,kl_div,0.0,ar_32_nope/mamba___128___1e-03,0.001,128,2
0,KEY,query_item_orig,target_item_orig,conv_input,restored_prob,0.04134834978126219,ar_32_nope/mamba___128___1e-03,0.001,128,2
corrupted,KEY,query_item_orig,target_item_orig,conv_input,restored_prob,0.04386486921174566,ar_32_nope/mamba___128___1e-03,0.001,128,2
original,KEY,query_item_orig,target_item_orig,conv_input,restored_prob,0.5722457233350724,ar_32_nope/mamba___128___1e-03,0.001,128,2
0,KEY,query_item_orig,target_item_orig,conv_input,prob_diff,0.0,ar_32_nope/mamba___128___1e-03,0.001,128,2
0,KEY,query_item_orig,target_item_orig,conv_input,restored_logit,6.85809326171875,ar_32_nope/mamba___128___1e-03,0.001,128,2
corrupted,KEY,query_item_orig,target_item_orig,conv_input,restored_logit,6.953277587890625,ar_32_nope/mamba___128___1e-03,0.001,128,2
original,KEY,query_item_orig,target_item_orig,conv_input,restored_logit,27.189453125,ar_32_nope/mamba___128___1e-03,0.001,128,2
0,KEY,query_item_orig,target_item_orig,conv_input,logit_diff,0.0,ar_32_nope/mamba___128___1e-03,0.001,128,2
0,KEY,query_item_orig,query_item,conv_input,kl_div,0.0,ar_32_nope/mamba___128___1e-03,0.001,128,2
0,KEY,query_item_orig,query_item,conv_input,restored_prob,0.08551618224677346,ar_32_nope/mamba___128___1e-03,0.001,128,2
corrupted,KEY,query_item_orig,query_item,conv_input,restored_prob,0.05333612758025611,ar_32_nope/mamba___128___1e-03,0.001,128,2
original,KEY,query_item_orig,query_item,conv_input,restored_prob,0.5722457233350724,ar_32_nope/mamba___128___1e-03,0.001,128,2
0,KEY,query_item_orig,query_item,conv_input,prob_diff,0.0,ar_32_nope/mamba___128___1e-03,0.001,128,2
0,KEY,query_item_orig,query_item,conv_input,restored_logit,3.621337890625,ar_32_nope/mamba___128___1e-03,0.001,128,2
